id,type,desc,category,concept,dataset,name
neighbourhood number,number,Unique Neighbourhood identifier,neighbourbood_id,area,vu9d-aerh,2016 Census - Dwelling Unit by Structure Type and Occupancy (Neighbourhood/Ward)
neighbourhood name,text,Neighbourhood Name,neighbourbood_name,area,vu9d-aerh,2016 Census - Dwelling Unit by Structure Type and Occupancy (Neighbourhood/Ward)
structure type,text,Residential Structure Type,,,vu9d-aerh,2016 Census - Dwelling Unit by Structure Type and Occupancy (Neighbourhood/Ward)
occupied,number,Number of Units Occupied,,,vu9d-aerh,2016 Census - Dwelling Unit by Structure Type and Occupancy (Neighbourhood/Ward)
unoccupied,number,Number of Units Not Occupied,,,vu9d-aerh,2016 Census - Dwelling Unit by Structure Type and Occupancy (Neighbourhood/Ward)
no longer in use,number,Number of Units No Longer in Use,,,vu9d-aerh,2016 Census - Dwelling Unit by Structure Type and Occupancy (Neighbourhood/Ward)
no response,number,Number of Units that represent as giving No Response,,,vu9d-aerh,2016 Census - Dwelling Unit by Structure Type and Occupancy (Neighbourhood/Ward)
age,text,"Age of residents effective April 1, 2009.",age,age,gy8c-eq6u,2009 Census - Population By Single Year Of Age And Gender (Citywide)
female,number, ,,sex,gy8c-eq6u,2009 Census - Population By Single Year Of Age And Gender (Citywide)
male,number, ,,sex,gy8c-eq6u,2009 Census - Population By Single Year Of Age And Gender (Citywide)
tweet permalink,url,,url,url,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
tweet text,text,,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
time,calendar_date,,date,time,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
impressions,number,Number of times users saw the Tweet on Twitter,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
engagements,number,Total number of times a uses has interacted with a Tweet.,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
engagement rate,number,The number of engagements divided by the total number of impressions.,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
retweets,number,,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
replies,number,,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
likes,number,,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
user profile clicks,number,,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
url clicks,number,,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
hashtag clicks,number,,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
detail expands,number,,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
permalink clicks,number,,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
app opens,number,,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
app installs,number,,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
follows,number,,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
email tweet,number,,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
dial phone,number,,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
media views,number,,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
media engagements,number,,,,4fc3-4cxh,Twitter Analytics Around Open Data Day 2017
meeting  id,text,Primary Key / Unique meeting identifier,,,khtg-hjme,2011-2013 Council And Committee Meetings - Attendance
item id,text,Foreign Key Identifier - see Agenda Items dataset for the related agenda item,,,khtg-hjme,2011-2013 Council And Committee Meetings - Attendance
attendee,text,Name of Council or Committee member,,,khtg-hjme,2011-2013 Council And Committee Meetings - Attendance
status,text,Indicators if Council or Committee member was present during any part of the meeting,,,khtg-hjme,2011-2013 Council And Committee Meetings - Attendance
job title,text,The job classification according to a Collective Agreement,,,ijxg-n4re,City of Edmonton Administration - Salary Ranges by Job Title
minimum annual salary ($),number,The minimum of the Salary Range,,,ijxg-n4re,City of Edmonton Administration - Salary Ranges by Job Title
maximum annual salary ($),number,The maximum of the Salary Range,,,ijxg-n4re,City of Edmonton Administration - Salary Ranges by Job Title
permanent position count,number,The number of permanent positions for the Job Title.,,,ijxg-n4re,City of Edmonton Administration - Salary Ranges by Job Title
temporary position count,number,The number of temporary positions for the Job Title.,,,ijxg-n4re,City of Edmonton Administration - Salary Ranges by Job Title
responsedate,calendar_date,,date,time,pwej-zwwc,Spray Parks - Insight Community
completiondate,calendar_date,,date,time,pwej-zwwc,Spray Parks - Insight Community
ostype,text,,,,pwej-zwwc,Spray Parks - Insight Community
devicetype,text,,,,pwej-zwwc,Spray Parks - Insight Community
browsertype,text,,,,pwej-zwwc,Spray Parks - Insight Community
ward,text,City Ward Number,ward_name,area,daq3-i6ze,2016 Census - Dwelling Unit by Ownership (Ward)
dwelling unit ownership,text,Ownership Type,,,daq3-i6ze,2016 Census - Dwelling Unit by Ownership (Ward)
dwellings,number,Number of Dwelling Units,,,daq3-i6ze,2016 Census - Dwelling Unit by Ownership (Ward)
year,number,Year of Collision,year,time,b8xx-awif,Top 100 Intersection Collision Locations (2012-2013)
collision location - intersection,text,Name of Intersection,,location,b8xx-awif,Top 100 Intersection Collision Locations (2012-2013)
collision type,text,"Type of Collision that occurred at an Intersection. The values allowed is Injury, Property Damage and Fatality.",,,b8xx-awif,Top 100 Intersection Collision Locations (2012-2013)
collision cause,text,Reason for the Collision.,,,b8xx-awif,Top 100 Intersection Collision Locations (2012-2013)
number of collisions,number,The total number of incidences the particular COLLISION CAUSE occurred at the given INTERSECTION for the particular YEAR.,,,b8xx-awif,Top 100 Intersection Collision Locations (2012-2013)
latitude,number,Latitude geographic coordinate of INTERSECTION,latitude,location,b8xx-awif,Top 100 Intersection Collision Locations (2012-2013)
longitude,number,Longitude geographic coordinate of INTERSECTION,longitude,location,b8xx-awif,Top 100 Intersection Collision Locations (2012-2013)
location,location,Spatial geographic coordinates of INTERSECTION,location,location,b8xx-awif,Top 100 Intersection Collision Locations (2012-2013)
ward,number,,ward_number,area,n2b5-3tn8,2017 Edmonton Election - Voting Stations
voting station number,text,,,,n2b5-3tn8,2017 Edmonton Election - Voting Stations
building name,text,,,,n2b5-3tn8,2017 Edmonton Election - Voting Stations
address,text,,address,location,n2b5-3tn8,2017 Edmonton Election - Voting Stations
longitude,number,,longitude,location,n2b5-3tn8,2017 Edmonton Election - Voting Stations
latitude,number,,latitude,location,n2b5-3tn8,2017 Edmonton Election - Voting Stations
location,location,,location,location,n2b5-3tn8,2017 Edmonton Election - Voting Stations
responsedate,calendar_date,"
Date/Time the respondent first opened/started the survey.",date,time,e6mn-r36x,Bike Safety - Edmonton Insight Community
completiondate,calendar_date,Date/Time the respondent finished the survey.,date,time,e6mn-r36x,Bike Safety - Edmonton Insight Community
bikesafe drive neither,number,"Respondents were asked to select all that apply. Question:  Do you ...Please select all that apply. Neither
 || Possible Answers: Yes (1)/No (0)",,,e6mn-r36x,Bike Safety - Edmonton Insight Community
bikesafe adaware,text,"Respondents were asked to rank the following on a scale:  Over the summer and fall, have you seen any advertising about cyclists on the road for Edmonton cyclists and motorists? || Answers:Yes,No,Don't know/Not sure",,,e6mn-r36x,Bike Safety - Edmonton Insight Community
bikesafe ads,text,"Respondents were asked to rank the following on a scale:  Have you seen or heard any advertising (including transit advertising, road signs, social media and online advertising) related to ‘Let’s Get There Together’ over the summer and fall? || Answers:Yes,No,Don't know",,,e6mn-r36x,Bike Safety - Edmonton Insight Community
ostype,text,"System Captured, OS used by the respondent. Question: OS Type? - OSType || Possible Answers: Mac (OS X)/Linux/Windows/iOS/Android/BlackBerry/Unknown",,,e6mn-r36x,Bike Safety - Edmonton Insight Community
devicetype,text,"System Captured, Device used by the respondent. Question: Device Type? - DeviceType || Possible Answers: Tablet/Desktop/Phone",,,e6mn-r36x,Bike Safety - Edmonton Insight Community
browsertype,text,"System Captured, Browser used by the respondent. Question: Browser Type? - BrowserType || Possible Answers: Internet Explorer/Firefox/Safari/Google Chrome/Opera/Android/BlackBerry/Unknown",,,e6mn-r36x,Bike Safety - Edmonton Insight Community
ward,text,City Ward Number,ward_name,area,jqkz-za8y,2016 Census - Dwelling Unit by City Resource Access (Neighbourhood/Ward)
neighbourhood number,number,Unique Neighbourhood Number,,,jqkz-za8y,2016 Census - Dwelling Unit by City Resource Access (Neighbourhood/Ward)
neighbourhood name,text,Neighbourhood Name,,,jqkz-za8y,2016 Census - Dwelling Unit by City Resource Access (Neighbourhood/Ward)
city website,number,Number of Units,,,jqkz-za8y,2016 Census - Dwelling Unit by City Resource Access (Neighbourhood/Ward)
newspapers,number,Number of Units,,,jqkz-za8y,2016 Census - Dwelling Unit by City Resource Access (Neighbourhood/Ward)
radio,number,Number of Units,,,jqkz-za8y,2016 Census - Dwelling Unit by City Resource Access (Neighbourhood/Ward)
tv,number,Number of Units,,,jqkz-za8y,2016 Census - Dwelling Unit by City Resource Access (Neighbourhood/Ward)
community newsletter,number,Number of Units,,,jqkz-za8y,2016 Census - Dwelling Unit by City Resource Access (Neighbourhood/Ward)
social media/email,number,Number of Units,,,jqkz-za8y,2016 Census - Dwelling Unit by City Resource Access (Neighbourhood/Ward)
in person,number,Number of Units,,,jqkz-za8y,2016 Census - Dwelling Unit by City Resource Access (Neighbourhood/Ward)
billboards,number,Number of Units,,,jqkz-za8y,2016 Census - Dwelling Unit by City Resource Access (Neighbourhood/Ward)
pamphlets,number,Number of Units,,,jqkz-za8y,2016 Census - Dwelling Unit by City Resource Access (Neighbourhood/Ward)
no response,number,Number of Units,,,jqkz-za8y,2016 Census - Dwelling Unit by City Resource Access (Neighbourhood/Ward)
parking facilities,text,,,,tsq5-xp73,Parkade And Surface Lots
owned/leased,text,,,,tsq5-xp73,Parkade And Surface Lots
type,text,,,,tsq5-xp73,Parkade And Surface Lots
total stalls,number,,,,tsq5-xp73,Parkade And Surface Lots
use,text,,,,tsq5-xp73,Parkade And Surface Lots
billing type,text,,,,tsq5-xp73,Parkade And Surface Lots
regular rate ($),money,,,,tsq5-xp73,Parkade And Surface Lots
5% gst ($),money,,,,tsq5-xp73,Parkade And Surface Lots
monthly rate ($),money,,,,tsq5-xp73,Parkade And Surface Lots
effective year,number,,,,tsq5-xp73,Parkade And Surface Lots
location,location,,location,location,tsq5-xp73,Parkade And Surface Lots
ward,text,City Ward Number,,,sqn3-6cp5,2016 Census - Population by School Residency (Neighbourhood/Ward)
neighbourhood number,number,Unique Neighbourhood Identifier,neighbourbood_id,area,sqn3-6cp5,2016 Census - Population by School Residency (Neighbourhood/Ward)
neighbourhood name,text,Neighbourhood Name,neighbourbood_name,area,sqn3-6cp5,2016 Census - Population by School Residency (Neighbourhood/Ward)
public,number,Number of Individuals Supporting School Board,,population,sqn3-6cp5,2016 Census - Population by School Residency (Neighbourhood/Ward)
catholic,number,Number of Individuals Supporting School Board,,population,sqn3-6cp5,2016 Census - Population by School Residency (Neighbourhood/Ward)
francophone,number,Number of Individuals Supporting School Board,,population,sqn3-6cp5,2016 Census - Population by School Residency (Neighbourhood/Ward)
no response,number,Number of individuals that did not provide a response to this question,,population,sqn3-6cp5,2016 Census - Population by School Residency (Neighbourhood/Ward)
responsedate,calendar_date,,,,t3h9-hcx4,Solar Panel Zoning - Edmonton Insight Community
completiondate,calendar_date,,,,t3h9-hcx4,Solar Panel Zoning - Edmonton Insight Community
ostype,text,,,,t3h9-hcx4,Solar Panel Zoning - Edmonton Insight Community
devicetype,text,,,,t3h9-hcx4,Solar Panel Zoning - Edmonton Insight Community
browsertype,text,,,,t3h9-hcx4,Solar Panel Zoning - Edmonton Insight Community
responsedate,calendar_date,,,,jcyt-m93g,Secondary Suites - Edmonton Insight Community
completiondate,calendar_date,,,,jcyt-m93g,Secondary Suites - Edmonton Insight Community
ostype,text,,,,jcyt-m93g,Secondary Suites - Edmonton Insight Community
devicetype,text,,,,jcyt-m93g,Secondary Suites - Edmonton Insight Community
browsertype,text,,,,jcyt-m93g,Secondary Suites - Edmonton Insight Community
responsedate,calendar_date,,,,i8hp-by3t,Incline to Include Store Ramps Pilot - Edmonton Insight Community
completiondate,calendar_date,,,,i8hp-by3t,Incline to Include Store Ramps Pilot - Edmonton Insight Community
ostype,text,,,,i8hp-by3t,Incline to Include Store Ramps Pilot - Edmonton Insight Community
devicetype,text,,,,i8hp-by3t,Incline to Include Store Ramps Pilot - Edmonton Insight Community
browsertype,text,,,,i8hp-by3t,Incline to Include Store Ramps Pilot - Edmonton Insight Community
ward,text,,,,r45z-99vd,2012 Census - Population By Employment Status (Neighbourhood)
neighbourhood number,number,,,,r45z-99vd,2012 Census - Population By Employment Status (Neighbourhood)
neighbourhood name,text,,,,r45z-99vd,2012 Census - Population By Employment Status (Neighbourhood)
preschool,number,,,,r45z-99vd,2012 Census - Population By Employment Status (Neighbourhood)
post secondary student,number,,,,r45z-99vd,2012 Census - Population By Employment Status (Neighbourhood)
homemaker,number,,,,r45z-99vd,2012 Census - Population By Employment Status (Neighbourhood)
unemployed,number,,,,r45z-99vd,2012 Census - Population By Employment Status (Neighbourhood)
retired,number,,,,r45z-99vd,2012 Census - Population By Employment Status (Neighbourhood)
permanently unable to work,number,,,,r45z-99vd,2012 Census - Population By Employment Status (Neighbourhood)
other,number,,,,r45z-99vd,2012 Census - Population By Employment Status (Neighbourhood)
no response,number,,,,r45z-99vd,2012 Census - Population By Employment Status (Neighbourhood)
responsedate,calendar_date,,,,h82p-4v64,Vehicle for Hire - Edmonton Insight Community
completiondate,calendar_date,,,,h82p-4v64,Vehicle for Hire - Edmonton Insight Community
ostype,text,,,,h82p-4v64,Vehicle for Hire - Edmonton Insight Community
devicetype,text,,,,h82p-4v64,Vehicle for Hire - Edmonton Insight Community
browsertype,text,,,,h82p-4v64,Vehicle for Hire - Edmonton Insight Community
year,number,Calendar year for budget,year,time,eazf-zhey,City of Edmonton - Financial Budget (Full Time Equivalence)
department / agencies,text,Name of City Department or Agency responsible for budget.,,,eazf-zhey,City of Edmonton - Financial Budget (Full Time Equivalence)
branch,text,Name of Branch responsible for budget.,,,eazf-zhey,City of Edmonton - Financial Budget (Full Time Equivalence)
status,text,Current status for a particular budget year. Only two (2) choices exist - Actual or Budget,,,eazf-zhey,City of Edmonton - Financial Budget (Full Time Equivalence)
full-time equivalents,number,A unit of measure showing how many employees the Branch has - assuming all employees work a full-time schedule.,,,eazf-zhey,City of Edmonton - Financial Budget (Full Time Equivalence)
name,text,Name of police station,,,e7aq-scxv,Police Stations
address,text,Street address for police station,address,location,e7aq-scxv,Police Stations
latitude,number,Latitude coordinate for police station,latitude,location,e7aq-scxv,Police Stations
longitude,number,Longitude coordinate for police station,longitude,location,e7aq-scxv,Police Stations
location,location,Geographic coordinates for police station,location,location,e7aq-scxv,Police Stations
year,number,Calendar year for budget,year,time,qycq-4ckj,City of Edmonton - Financial Budget
department / agencies,text,Name of City Department or Agency responsible for budget item.,,,qycq-4ckj,City of Edmonton - Financial Budget
branch,text,Name of Branch responsible for budget item,,,qycq-4ckj,City of Edmonton - Financial Budget
status,text,Current status for a particular budget item. Only two (2) choices exist - Actual or Budget,,,qycq-4ckj,City of Edmonton - Financial Budget
budget category,text,High-level categorization of budget item - Revenue & Transfers or Expenditures & Transfers,,,qycq-4ckj,City of Edmonton - Financial Budget
budget sub-category,text,Budget item description,,,qycq-4ckj,City of Edmonton - Financial Budget
ward,text,,ward_name,area,y354-d5xg,2012 Census - Population By Employment Status (Ward)
employment status,text,,,,y354-d5xg,2012 Census - Population By Employment Status (Ward)
population,number,,population,population,y354-d5xg,2012 Census - Population By Employment Status (Ward)
site number,number,"A unique identifier for a site location
",,,b58q-nxjr,Average Annual Weekday Traffic Volumes (2009-2015)
site name,text,Location name where a traffic volume reading was taken,,,b58q-nxjr,Average Annual Weekday Traffic Volumes (2009-2015)
year,number,The year the traffic volumes pertain to.,year,time,b58q-nxjr,Average Annual Weekday Traffic Volumes (2009-2015)
average daily volume,number,The actual or estimated traffic volume value at a given location for a particular year.,,,b58q-nxjr,Average Annual Weekday Traffic Volumes (2009-2015)
latitude,number,Horizontal spatial location of Site,latitude,location,b58q-nxjr,Average Annual Weekday Traffic Volumes (2009-2015)
longitude,number,Vertical spatial location of Site,longitude,location,b58q-nxjr,Average Annual Weekday Traffic Volumes (2009-2015)
location,location,Spatial Location of Site,location,location,b58q-nxjr,Average Annual Weekday Traffic Volumes (2009-2015)
responsedate,calendar_date,,,,7y7e-qpey,Edmonton Climate Change - Edmonton Insight Community
completiondate,calendar_date,,,,7y7e-qpey,Edmonton Climate Change - Edmonton Insight Community
ostype,text,,,,7y7e-qpey,Edmonton Climate Change - Edmonton Insight Community
devicetype,text,,,,7y7e-qpey,Edmonton Climate Change - Edmonton Insight Community
browsertype,text,,,,7y7e-qpey,Edmonton Climate Change - Edmonton Insight Community
lrt stop number,number,A unique number assigned to the LRT Station/Stop.,,,j77g-ki3x,LRT Stations and Stops
lrt stop description,text,A brief description of the LRT Station/Stop.  Generally makes reference to some landmark and/or city location.,,,j77g-ki3x,LRT Stations and Stops
lrt travel direction,text,The travel direction that correspondes to the LRT Stop Number and latitude/longitude for the Station/Stop.,,,j77g-ki3x,LRT Stations and Stops
latitude,number,The latitude value for the LRT Station/Stop.,,,j77g-ki3x,LRT Stations and Stops
longitude,number,The longitude value for the LRT Station/Stop.,,,j77g-ki3x,LRT Stations and Stops
location,location,The combining of the latitude/longitude value for mapping purposes.,,,j77g-ki3x,LRT Stations and Stops
ward,text,City Ward Number,,,33jk-s9st,2012 Census - Population By Single Year Of Age And Gender (Ward)
age,text,,age,age,33jk-s9st,2012 Census - Population By Single Year Of Age And Gender (Ward)
female,number,,,population,33jk-s9st,2012 Census - Population By Single Year Of Age And Gender (Ward)
male,number,,,population,33jk-s9st,2012 Census - Population By Single Year Of Age And Gender (Ward)
responsedate,calendar_date,,,,73rt-tykm,Moment Of Reflection - Edmonton Insight Community
completiondate,calendar_date,,,,73rt-tykm,Moment Of Reflection - Edmonton Insight Community
ostype,text,,,,73rt-tykm,Moment Of Reflection - Edmonton Insight Community
devicetype,text,,,,73rt-tykm,Moment Of Reflection - Edmonton Insight Community
browsertype,text,,,,73rt-tykm,Moment Of Reflection - Edmonton Insight Community
responsedate,calendar_date,,,,y875-8ukm,Recycling - Edmonton Insight Community
completiondate,calendar_date,,,,y875-8ukm,Recycling - Edmonton Insight Community
ostype,text,,,,y875-8ukm,Recycling - Edmonton Insight Community
devicetype,text,,,,y875-8ukm,Recycling - Edmonton Insight Community
browsertype,text,,,,y875-8ukm,Recycling - Edmonton Insight Community
race id,number,Unique Identifier for Election Race,,,h9v5-2eis,2013 Edmonton Election - Results Details (by Voting Station)
contest name,text,Name of Race,,,h9v5-2eis,2013 Edmonton Election - Results Details (by Voting Station)
ward name,text,Name of Ward,ward_name,area,h9v5-2eis,2013 Edmonton Election - Results Details (by Voting Station)
voting station type,text,Type of Voting Station (City Wide Voting Stations show the distribution of votes from the various City-Wide voting opportunities),,,h9v5-2eis,2013 Edmonton Election - Results Details (by Voting Station)
voting station description,text,Voting Station Description,,,h9v5-2eis,2013 Edmonton Election - Results Details (by Voting Station)
facility name,text,Location of Voting Station,,location,h9v5-2eis,2013 Edmonton Election - Results Details (by Voting Station)
eligible voters,number,"Estimated number of Eligible Voters reporting to this Voting Station, based on 2012 Municipal Census (shown for Regular Voting Stations only)",,,h9v5-2eis,2013 Edmonton Election - Results Details (by Voting Station)
acclaimed,text,A Candidate is Acclaimed if there is only one nomination for that race.,,,h9v5-2eis,2013 Edmonton Election - Results Details (by Voting Station)
candidate last name,text,Candidate Last Name,,,h9v5-2eis,2013 Edmonton Election - Results Details (by Voting Station)
candidate first name,text,Candidate First Name,,,h9v5-2eis,2013 Edmonton Election - Results Details (by Voting Station)
votes received,number,Votes Received by Candidate (Under Votes are ballots counted with no selection for this race; Over Votes are ballots counted with more than the allowable  number of selections in a race - no votes are assigned to a candidate),,,h9v5-2eis,2013 Edmonton Election - Results Details (by Voting Station)
request number,text,Request Number,,,i4kt-z6xs,Requests for Data
request description,text,Short Description,,,i4kt-z6xs,Requests for Data
request details,text,Details,,,i4kt-z6xs,Requests for Data
request creation date,calendar_date,Request Creation Date,date,time,i4kt-z6xs,Requests for Data
status,text,"Current status of the request. Click here for status explanations.

https://data.edmonton.ca/stories/s/266r-inxb/",,,i4kt-z6xs,Requests for Data
status date,calendar_date,Date/time when the current status was set,date,time,i4kt-z6xs,Requests for Data
department,text,Which City Department is responsible for the data,,,i4kt-z6xs,Requests for Data
dataset published date,calendar_date,What date the dataset went public,date,time,i4kt-z6xs,Requests for Data
dataset url,url,URL to the dataset,url,url,i4kt-z6xs,Requests for Data
responsedate,calendar_date,,,,itn2-r78n,Property Taxes - Edmonton Insight Community
completiondate,calendar_date,,,,itn2-r78n,Property Taxes - Edmonton Insight Community
propertyowner,text,,,,itn2-r78n,Property Taxes - Edmonton Insight Community
typeofproperty,text,,,,itn2-r78n,Property Taxes - Edmonton Insight Community
contactcity,text,,,,itn2-r78n,Property Taxes - Edmonton Insight Community
experience,text,,,,itn2-r78n,Property Taxes - Edmonton Insight Community
timely,text,,,,itn2-r78n,Property Taxes - Edmonton Insight Community
ostype,text,,,,itn2-r78n,Property Taxes - Edmonton Insight Community
devicetype,text,,,,itn2-r78n,Property Taxes - Edmonton Insight Community
browsertype,text,,,,itn2-r78n,Property Taxes - Edmonton Insight Community
meeting id,number,Primary Key / Unique meeting identifier,,,prdj-dgnz,2013-2017 Council And Committee Meetings - Attendance
item id,number,Foreign Key Identifier - see Agenda Items dataset for the related agenda item,,,prdj-dgnz,2013-2017 Council And Committee Meetings - Attendance
attendee,text,Name of Council or Committee member,,,prdj-dgnz,2013-2017 Council And Committee Meetings - Attendance
status,text,Indicators if Council or Committee member was present during any part of the meeting,,,prdj-dgnz,2013-2017 Council And Committee Meetings - Attendance
structure type,text,Type of Building Structure,,,h7gh-6hvx,2016 Census - Population by Structure Type (Citywide)
population,number,Number of Individuals,population,population,h7gh-6hvx,2016 Census - Population by Structure Type (Citywide)
postal,text,,postal_code,area,6asu-htha,311 Call Centre Satisfaction Survey 2014
racenumber,number,,,,yznh-9n2u,2010 Edmonton Election - Official Results
raceorder,number,,,,yznh-9n2u,2010 Edmonton Election - Official Results
racename,text,,,,yznh-9n2u,2010 Edmonton Election - Official Results
wardorder,number,,ward_number,area,yznh-9n2u,2010 Edmonton Election - Official Results
wardname,text,,ward_name,area,yznh-9n2u,2010 Edmonton Election - Official Results
stationname,text,,,,yznh-9n2u,2010 Edmonton Election - Official Results
stationtypesortorder,number,,,,yznh-9n2u,2010 Edmonton Election - Official Results
eligiblevoters,number,,,,yznh-9n2u,2010 Edmonton Election - Official Results
acclaimed,text,,,,yznh-9n2u,2010 Edmonton Election - Official Results
ermcandidate,number,,,,yznh-9n2u,2010 Edmonton Election - Official Results
candidatename,text,,,,yznh-9n2u,2010 Edmonton Election - Official Results
votesreceived,number,,,,yznh-9n2u,2010 Edmonton Election - Official Results
responsedate,calendar_date,,,,59d8-s3sy,Amenity Areas - Edmonton Insight Community
completiondate,calendar_date,,,,59d8-s3sy,Amenity Areas - Edmonton Insight Community
ostype,text,,,,59d8-s3sy,Amenity Areas - Edmonton Insight Community
devicetype,text,,,,59d8-s3sy,Amenity Areas - Edmonton Insight Community
browsertype,text,,,,59d8-s3sy,Amenity Areas - Edmonton Insight Community
interview start,calendar_date,,,,2g3q-ffpc,"Climate Perceptions Baseline Survey Data, Questionnaire and Final Report"
interview end,calendar_date,,,,2g3q-ffpc,"Climate Perceptions Baseline Survey Data, Questionnaire and Final Report"
age,text,,age,age,2g3q-ffpc,"Climate Perceptions Baseline Survey Data, Questionnaire and Final Report"
sexe,text,,,sex,2g3q-ffpc,"Climate Perceptions Baseline Survey Data, Questionnaire and Final Report"
row id,text,A unique ID that combines the Station Number and the time stamp of the data recording.  Done to ensure data does not get duplicated.,,,cnsu-iagr,Water Levels and Flows
station number,text,The unique identifier for the monitoring station.,,,cnsu-iagr,Water Levels and Flows
station description,text,The description of where the monitoring station is located.,,,cnsu-iagr,Water Levels and Flows
latitude,number,The latitude value for the monitoring station's location.,latitude,location,cnsu-iagr,Water Levels and Flows
longitude,number,The longitude value for the monitoring station's location.,longitude,location,cnsu-iagr,Water Levels and Flows
station location,location,The latitude/longitude values for the monitoring station's location (used for mapping purposes).,location,location,cnsu-iagr,Water Levels and Flows
date and time,calendar_date,The date and time of the levels and flows reading.,date,time,cnsu-iagr,Water Levels and Flows
water level (m),number,The water level reading (in meters).  A value of -1 indicates that the monitoring station did not successfully record a reading. ,,,cnsu-iagr,Water Levels and Flows
year,number,Calendar Year,year,time,8t7s-6vwq,Residential Building Permits 2015
neighbourhood,text,City of Edmonton Neighbourhood,neighbourbood_name,area,8t7s-6vwq,Residential Building Permits 2015
city sector,text,General Geographic Area of City,,area,8t7s-6vwq,Residential Building Permits 2015
typology,text,"General Neighbourhood classification based on the the Way We Grow, geographic location and age",,,8t7s-6vwq,Residential Building Permits 2015
neighbourhood number,number,Unique Neighbourhood Identifier,neighbourbood_id,area,8t7s-6vwq,Residential Building Permits 2015
ward,number,City Ward,ward_number,area,8t7s-6vwq,Residential Building Permits 2015
traffic district,number,Unique Transportation Management Area as identified by Transportation Services,district,area,8t7s-6vwq,Residential Building Permits 2015
total construction value ($),money,Total Declared Construction Values Summed-up from Building Permits,,,8t7s-6vwq,Residential Building Permits 2015
number of permits,number,All building permits issued in the neighbourhood,,,8t7s-6vwq,Residential Building Permits 2015
number of additions,number,Additions to Primary Residence (does not include additions to accessory buildings),,,8t7s-6vwq,Residential Building Permits 2015
interior/exterior alterations,number,"Changes to the inside or outside of an existing building. Includes foundation repairs to low-density residential buildings. Also, includes decks.",,,8t7s-6vwq,Residential Building Permits 2015
accessory buildings,number,Construction or alteration of buildings that are accessory to the primary building (ex. garage),,,8t7s-6vwq,Residential Building Permits 2015
hot tubs/ pools,number,"New hot tubs or pools. Also, includes man-made ponds",,,8t7s-6vwq,Residential Building Permits 2015
foundation/ structure,number,Foundation construction for apartment buildings and other multi-family projects,,,8t7s-6vwq,Residential Building Permits 2015
accessory buildings demolished,number,Demolition of accessory buildings (ex. garage). A demolition permit may not be issued building will be replaced.,,,8t7s-6vwq,Residential Building Permits 2015
new ss suites,number,Number of New Secondary Suites,,,8t7s-6vwq,Residential Building Permits 2015
garden suites,number,Free standing residential suite constructed as an accessory building.,,,8t7s-6vwq,Residential Building Permits 2015
garage suites,number,Free standing residential suite constructed as an accessory building that also includes garage parking.,,,8t7s-6vwq,Residential Building Permits 2015
single-detached,number,Single-detached house. Does not include secondary suites.,,,8t7s-6vwq,Residential Building Permits 2015
duplex units,number,"A building containing only two Dwellings, with one Dwelling placed over the other. Each unit is counted individually.",,,8t7s-6vwq,Residential Building Permits 2015
semi-detached units,number,"A building containing only two Dwellings, with each Dwelling placed side by side. Each unit is counted individually.",,,8t7s-6vwq,Residential Building Permits 2015
row housing units,number,A building containing a row of three or more Dwellings joined in whole or in part at the side. Also includes stacked row housing. Each unit is counted individually.,,,8t7s-6vwq,Residential Building Permits 2015
apartment units,number,"Multiple dwellings  contained within a building in which the Dwellings are arranged in any horizontal or vertical configuration, Each unit is counted individually.",,,8t7s-6vwq,Residential Building Permits 2015
mobile home units,number,"Transportable Single Detached Housing which is suitable for permanent occupancy, designed to be transported on its own wheels.",,,8t7s-6vwq,Residential Building Permits 2015
mobile units demolished,number,Mobile homes are demolished or removed from a site.,,,8t7s-6vwq,Residential Building Permits 2015
secondary suites demolished,number,"Secondary Suites removed from primary residence. Note - not all removals require a permit. Therefore, some may not be tracked.",,,8t7s-6vwq,Residential Building Permits 2015
single units demolished,number,Single dwelling homes are demolished.,,,8t7s-6vwq,Residential Building Permits 2015
multi-family units demolished,number,"Multi dwelling homes are demolished. This includes duplexes, semi-detached homes, row housing and apartment buildings.",,,8t7s-6vwq,Residential Building Permits 2015
